,Title,Year,Genre,Director,Cast,Movie_id,cast_no,poster_url
33,Sapana,1993,Drama,Shambhu Pradhan,"Bhuwan K.C., Karishma Manandhar, Mausami Malla, Neer Bikram Shah",/title/tt8505204/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRfQmsG8Mvi8QRXOQJKCf8wQIXnThVwlVKstKh7w_vIZC9d14rPl3sAXNBLlw&s
34,Sauta,1993,drama,Narayan Puri,"Bhuwan K.C., Karishma Manandhar, Ramesh Budathoki, Hemanta Budhathoki",/title/tt0301809/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDYWL0lslWt5zqrJPvjneDip14pKCusOzSsgiZ6d8RcPDT8o5LfKw9P3va5Kw&s
35,Adhikar,1993,Drama,Prakash Thapa,"Rajesh Hamal, Kristi Mainali, Mithila Sharma, Basundhara Bhusal",/title/tt8500898/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRRZpT8jciqGilEaxNvhy81YqVYKzLuTygf0v1pfIURggB_bs9lp4VwIikjgA&s
37,Mohani,1994,Drama,Ramesh Budathoki,"Bina Budhathoki, Hemanta Budhathoki, Saroj Khanal, Laya Sangraula",/title/tt8847252/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8TMx9oB0_lcZMXaQG5C8KC1Yh5B3g3yGGEbF5P__hlSCZJxTebSWOyRCSeiU&s
38,Swarga,1994,Drama,Shambhu Pradhan,"Subhadra Adhikari, Gauri Malla, Neer Bikram Shah, Shiv Shrestha",/title/tt8494934/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRdVqBxlCO-szcdI-qv9LahmO3rUeL2tfDfDbsn6Bnv1HBLV1YC4T7OvmscCA&s
39,Janma Janma,1994,Romance,Sital Nepal,"Kumud Pant, Dhiren Shakya, Shweta Gautam, Binod Manandhar",/title/tt5093756/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQsP0zSRltEU630dndDuRqGQKuF1rGuWn0ktX74tWe_EB4CYqubU4VcjIFerY4&s
40,Prithvi,1994,drama,Prakash Rayamajhi,"Rajesh Hamal, Mausami Malla, Muralidhar, Hemanta Budhathoki",/title/tt6774818/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQKHxyJv_UT0HsDxtREdNAUXXncQKWnmVUB_r5TMtfGDD14f_vdgb2-cv1jHMQ&s
41,Shree Swosthani,1994,Drama,Yadav Kharel,"Pooja Chand, Rakesh Khadka, Rudra Raj Pandey, Jal Shah",/title/tt8503108/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTgpcmJQp8h8TanaaOIWSCVa8DatBlYV4JpYLck8rDdDGJagV444ib7lgjnoew&s
43,Mahamaya,1995,Drama,Prakash Thapa,"Basundhara Bhusal, Bhubhan Chand, Saroj Khanal, Gauri Malla",/title/tt8460814/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSGCLOAo8Ol8r9989Xf4xx-J0ppVpfqkQeAdQPLRDCDmV9YkF9zVOk3svo7Ug&s
44,Prem Pinda,1995,"History, Romance",Yadav Kharel,"Saroj Khanal, Sunny Rauniyar, Neer Bikram Shah, Melina Manandhar",/title/tt0277967/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ7A-WYfZ1vDkGUdr8mdZAOCoBKa_HGpuWIyZGV7mn2JU7S5dpKWurJ9pdSzbg&s
45,Jeevan Sangharsha,1995,"Action, Drama",Yubraj Lama,"Rajesh Hamal, Kumud Pant, Yubraj Lama, Mithila Sharma",/title/tt17493572/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQsP0zSRltEU630dndDuRqGQKuF1rGuWn0ktX74tWe_EB4CYqubU4VcjIFerY4&s
47,Saraswati,1995,Drama,Shambhu Pradhan,"Gauri Malla, Shiv Shrestha, Sunil Thapa, Nutan Pradhan",/title/tt8283040/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2BFC2kr5wOPYDRYHLhLvshNeZJ6ZPjTTxJMzGbB8euZNTVt0iqMbdOojEf4&s
48,Janma Bhoomi,1995,Drama,Mohan Niroula,"Kumud Pant, Shiv Shrestha, Mohan Niroula, Saroj Khanal",/title/tt0305692/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTWQMzkNwuquCKbgjqYX8yWdseTfthU46nH24YcfiXUh6YLQJXUZK8zZ8KNLA&s
49,Rahar,1996,Romance,Tulsi Ghimire,"Keshab Bhattarai, Bharati Ghimire, Tulsi Ghimire, Ramesh K.C.",/title/tt8226448/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1Cb_8ox4TB917jmjU9RmaneTVHWmUxO0uE2s0jBIlpqLUd0mb-uEJsQ1BHQ&s
50,Gothalo,1996,"Drama, Romance",Ujwal Ghimire,"Kumud Pant, Sharmila Malla, Krishna Malla, Shree Krishna Shrestha",/title/tt5093808/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTo2A1RNrxsOudWeTiMzwaYSa_WEsWLfcqvn678mG7i1FPGkPwV0z_67jiypsE&s
51,Seemana,1996,"Action, Drama",Prakash Sayami,"Rajesh Hamal, Dhiren Shakya, Melina Manandhar, Hemanta Budhathoki",/title/tt6759286/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR8935R-crEZA_NWqp83LBfYo0jsDRVg8-KVRs9JmM4KXhno92ZPH3HY4GEsCY&s
