,Title,Year,Genre,Director,Cast,Movie_id
187,First Love,(V) (2010),Romance,"Simosh Sunuwar
                 |","['Nisha Adhikari', 'Anup Poudel', 'Karma Shakya', 'Reecha Sharma']",/title/tt1987567/
188,Kohi Mero,(2010),Romance,"Alok Nembang
                 |","['Jharana Bajracharya', 'Radha Lamsal', 'Sanchita Luitel', 'Tripti Nadakar']",/title/tt2102353/
189,Dasdhunga,(2010),Drama,"s:
Manoj Pandit, 
Haridev Oli
                 |","['Anup Baral', 'Dayahang Rai', 'Saugat Malla', 'Sanchita Luitel']",/title/tt6609996/
190,Nai Nabhannu La,(2010),Romance,"Bikash Raj Acharya
                 |","['Richa Singh Thakuri', 'Jiwan Luitel', 'Suman Singh', 'Mithila Sharma']",/title/tt8677428/
191,Hifajat,(2010),Drama,"Gyanendra Bahadur Deuja
                 |","['Rekha Thapa', 'Aaryan Sigdel', 'Neer Bikram Shah', 'Aayush Rijal']",/title/tt8728132/
192,Jaljala,(2010),Action,"Shivaji Lamichhane
                 | 
    Star:
Rekha Thap",['tor:\nShivaji Lamichhane\n                 | \n    Star:\nRekha Thapa'],/title/tt13624634/
193,Nishana,(2010),Comedy,"Suresh Darpan Pokharel
                 |","['Jaya Kishan Basnet', 'Rajesh Hamal', 'Nandita K.C.', 'Dilip Rayamajhi']",/title/tt18339142/
194,Kaslai Diu Yo Jovan,(2010),Comedy,"Suresh Darpan Pokharel
                 |","['Melina Manandhar', 'Dilip Rayamajhi', 'Jharana Thapa', 'Nikhil Upreti']",/title/tt18339224/
195,Hasi Deu Ek Phera,(2010),"Comedy, Drama","Shiva Regmi
                 |","['Hari Bansha Acharya', 'Madan Krishna Shrestha', 'Raj Ballav Koirala', 'Shweta Khadka']",/title/tt8022710/
196,Andaj,(2011),Romance,"Ujwal Ghimire
                 |","['Rekha Thapa', 'Jiwan Luitel', 'Sabin Shrestha', 'Shishir S.J.B. Rana']",/title/tt8290858/
197,"Katmandú, un espejo en el cielo",(2011),"Drama, Romance","Icíar Bollaín
                 |","['Verónica Echegui', 'Sumyata Bhattarai', 'Norbu Tsering Gurung', 'Kalsang Tamang']",/title/tt1839688/
198,Pal,(II) (2011),Drama,"Ramesh Budathoki
                 |","['Nisha Adhikari', 'Anup Baral', 'Basundhara Bhusal', 'Ramesh Budathoki']",/title/tt8811616/
199,Batch No.16,(2011),Action,"Pitamber Pandey
                 |","['Anup Baral', 'Rubi Bhattarai', 'Aakash Kahrel', 'Sushma Karki']",/title/tt2098630/
